GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
41.6350590585; -81.7001959208,39035,Cuyahoga,Cuyahoga County,OH
47.1175406772; -108.250216941,30069,Petroleum,Petroleum County,MT
35.8135384798; -89.1395281511,47033,Crockett,Crockett County,TN
33.1304910055; -107.192378947,35051,Sierra,Sierra County,NM
41.7159996542; -103.010548763,31123,Morrill,Morrill County,NE
37.1500572155; -96.2453782628,20019,Chautauqua,Chautauqua County,KS
33.2937873448; -85.4590701568,1111,Randolph,Randolph County,AL
48.7209967429; -104.504654201,30091,Sheridan,Sheridan County,MT
34.9747567032; -81.1843527866,45091,York,York County,SC
38.5999841735; -86.1053059023,18175,Washington,Washington County,IN
43.4633261176; -114.805776873,16025,Camas,Camas County,ID
38.9958676803; -80.5021593376,54041,Lewis,Lewis County,WV
36.0772896934; -96.9756358548,40119,Payne,Payne County,OK
37.805131267; -85.4659885855,21179,Nelson,Nelson County,KY
37.2650404186; -77.3969067219,51570,Colonial Heights,Colonial Heights city,VA
42.5831156958; -72.5918576846,25011,Franklin,Franklin County,MA
41.916402826; -96.787400407,31039,Cuming,Cuming County,NE
33.2690858673; -85.8605470841,1027,Clay,Clay County,AL
34.263162689; -85.2142786499,13115,Floyd,Floyd County,GA
42.3911118186; -96.564513018,31043,Dakota,Dakota County,NE
38.5086167769; -81.9089929263,54079,Putnam,Putnam County,WV
32.3583825945; -84.0424794131,13193,Macon,Macon County,GA
35.9530379334; -81.5464366451,37027,Caldwell,Caldwell County,NC
38.4813047182; -100.466398449,20101,Lane,Lane County,KS
36.0360299243; -78.8765926949,37063,Durham,Durham County,NC
47.1224429081; -112.390455011,30049,Lewis and Clark,Lewis and Clark County,MT
36.3920428566; -86.1567527604,47169,Trousdale,Trousdale County,TN
26.1518560378; -80.4558842537,12011,Broward,Broward County,FL
32.3270730707; -98.8323222504,48133,Eastland,Eastland County,TX
41.1166208296; -84.5801945588,39125,Paulding,Paulding County,OH
40.7352022993; -94.2439719124,19159,Ringgold,Ringgold County,IA
41.1281451272; -78.9994214565,42065,Jefferson,Jefferson County,PA
44.0663458318; -98.6296749711,46073,Jerauld,Jerauld County,SD
38.5388085859; -118.435214254,32021,Mineral,Mineral County,NV
36.835513749; -94.810429621,40115,Ottawa,Ottawa County,OK
35.486983815; -76.8453144055,37013,Beaufort,Beaufort County,NC
34.6519495513; -90.3754987097,28143,Tunica,Tunica County,MS
39.2059705721; -85.8976029732,18005,Bartholomew,Bartholomew County,IN
34.5767017575; -93.150399652,5051,Garland,Garland County,AR
43.9049970086; -107.68286072,56043,Washakie,Washakie County,WY
48.2452683995; -93.7833663013,27071,Koochiching,Koochiching County,MN
31.3687302289; -102.043034893,48461,Upton,Upton County,TX
37.7597150131; -122.693975573,6075,San Francisco,San Francisco County,CA
